,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14
price_mean_lag1,-0.093317679,0.19421549,-0.054769192,-0.012227331,-0.035428667,-0.018252985,0.029484134,0.004500694,-0.017202722,0.003391267,-0.007767424,-0.004950748,0.000649062,0.021833649
price_std_lag1,-0.034835928,-0.054023352,-0.006482697,-0.197156483,-0.193523933,0.32344852,0.214456568,-0.087472444,0.095453296,0.020418797,0.023353882,-0.215400677,-0.017457767,0.074364451
price_min_lag1,-0.071475528,0.177527932,-0.025921993,0.048237989,0.034214283,-0.152433222,-0.075419095,0.068561465,-0.135848453,-0.003046764,0.000567703,0.093888927,0.045636765,-0.077328038
price_range_lag1,-0.042205332,-0.041777057,-0.021126546,-0.189417299,-0.215967584,0.26226948,0.238618889,-0.118255109,0.146096964,0.050859507,0.02573141,-0.2681171,-0.022938393,0.139368902
price_roll3_mean,-0.05263087,0.164291822,-0.070145911,0.084073049,-0.003893915,0.032040774,0.058851678,-0.077782746,0.140284854,-0.062637873,0.077123278,-0.036964187,0.00460082,-0.142943601
price_roll7_mean,-0.006630694,0.149125626,-0.069091122,0.054939418,0.033268575,0.159214485,-0.016007368,-0.074523243,0.174005554,-0.182787983,0.06965639,0.054802748,0.050792671,-0.08700328
ttf_lag1,0.091178585,0.121902686,0.06159082,0.055036878,-0.06224497,0.166351183,0.120888389,0.16283953,0.09889241,0.103638571,0.152442342,0.072418577,-0.184695165,0.030713555
ttf_return_1d,-0.016947625,-0.022602374,0.00163829,-0.022818655,0.021280753,-0.037290988,0.070593986,0.507822787,0.154561887,-0.034712374,-0.291048017,-0.107947144,0.08887743,-0.084820035
ttf_return_3d,-0.032891468,-0.030273769,-0.008986855,-0.036926728,-0.019347822,-0.010974602,0.094524359,0.521610012,0.057989666,-0.030100575,-0.159546794,0.074040579,-0.090203466,0.008062094
ttf_roll7_std,0.005551873,0.034033886,-0.013559345,-0.01373818,-0.079898737,0.065531494,0.004113485,0.090369741,0.350127869,-0.273359909,0.325897742,0.415426383,-0.061350729,-0.02910101
co2_lag1,-0.048223203,-0.005194409,-0.180808174,0.036729979,-0.034703492,0.152592888,-0.006264661,0.15156208,0.094054875,0.291795081,0.164143543,0.311235658,-0.106368041,-0.039834842
co2_return_1d,-0.015862468,0.011442442,0.0059634,0.013565453,0.015068012,0.02345239,-0.040973524,0.469264388,0.008880366,-0.1017996,-0.027265825,-0.195315108,0.262283503,-0.054765557
brent_return_3d,-0.004033584,-0.02114663,-0.001664686,-0.039076455,0.019685035,-0.024289323,0.08203533,0.150273482,-0.018961764,0.00190146,0.389451909,-0.109697422,0.469347659,0.493166843
spark_spread_proxy,-0.139394732,0.114832252,-0.073138048,-0.047585179,0.005894385,-0.129528241,-0.042723368,-0.105498825,-0.083398611,-0.083875953,-0.112236494,-0.075114227,0.119402503,0.006298847
co2_gas_ratio,-0.095894512,-0.129339987,-0.118871824,-0.053669742,0.019666198,-0.11324159,-0.086215738,-0.098304739,-0.054099486,-0.036275409,-0.012039458,0.042413538,0.123522035,0.017373405
wind_mean_t,0.171535354,0.039595615,-0.087184726,-0.009212254,-0.081841055,-0.045373255,-0.027835763,-0.005336399,0.014945546,-0.058794765,0.019560306,-0.036517095,0.027225175,-0.130209525
temp_mean_t,-0.099169297,-0.123223499,-0.08699578,-0.059843608,-0.216422339,-0.178008016,0.0837599,0.005944945,0.037822681,-0.12279384,0.037310742,0.043919454,-0.009330219,-0.008025761
