,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17
price_mean_lag1,-0.039602930709753896,0.2140122276958991,-0.05735915218992533,-0.027031939512039246,0.0034613728268077324,0.012950461135899581,-0.018974050511357008,-0.032322790529759025,-0.022055257726392587,-0.00967422325463517,-0.0062938034835060466,-0.010769492760500966,0.01485277025210831,0.014112344838547607,-0.008944258251916543,0.0006287462645148755,0.007454476984722847
price_std_lag1,-0.0288856812802,-0.04274470559102994,0.014194827093444246,-0.1851470029840826,-0.07937207028653391,-0.011161438936804621,-0.2210769207016356,-0.20789732349540463,0.2771373627553379,-0.14318797268726355,-0.15545337230278936,-0.08474105219452675,-0.04824153809204478,0.019433718682035122,0.17928216449489465,0.15125983109920885,-0.04182302696628728
price_min_lag1,-0.02941503892210151,0.1892597756369409,-0.03653951600517591,0.028447420262643908,0.028840650409191492,0.02136063834719533,0.07412878914235443,0.06158433929885167,-0.19151888817516877,0.022356347366707337,0.11519553721678819,0.015654119343316748,-0.016564811875945978,-0.013191785520937466,-0.0818052080006431,-0.041442603894696346,0.04613416718275766
price_range_lag1,-0.03162699324801965,-0.02815706383024663,-0.005169666011195617,-0.18235086224103564,-0.08086079758723003,-0.011409150124474687,-0.17793017530664093,-0.26065719480410815,0.27807917764945844,-0.12662961023577052,-0.13750818170793158,-0.12757414326310007,-0.026430259500083784,0.0394362820086156,0.2266760652775572,0.16894417134030743,-0.026561337359782146
pivot_hour_peak_lag1,-0.08926760098736107,-0.05794184323911118,0.08122326084705178,-0.10876369563213506,0.0644852856285747,-0.02684247654943972,-0.15473522689298214,0.0184592773778664,-0.13512131552720785,0.2482552036661963,-0.006100770060609842,0.10742084042302538,-0.14284952939399162,0.03619876743175132,-0.0690413816656835,-0.09444357218661605,0.13583854059411768
pivot_hour_trough_lag1,0.011922592501157467,0.014380464726128634,-0.13268289275217557,0.11732153549378543,-0.005812619719634364,0.025156703292571025,0.23302326027912368,-0.16699483773182777,0.1902105477457076,0.1221698450841057,0.062141463452073664,-0.020200338658108996,-0.05044297723708588,-0.04747707300146553,0.10170616823506244,0.03513631994997993,0.03302911075127958
pivot_peak_sin,0.09357226521581437,0.0463076486672415,-0.08674454068284178,0.11443533199480194,-0.06967493597020849,0.02694751321002417,0.13691489873110232,-0.005466523211623886,0.12965897711516028,-0.2542017012430233,0.03827168759121097,-0.09422265102140157,0.19925162277680425,-0.04464454114220594,0.037599982808793384,0.1138604795182116,-0.18051018195402646
pivot_peak_cos,-0.02862244868605274,-0.05584885593396535,-0.13993587602326174,-0.01898322340657571,-0.005446599447242587,-0.003453401634071429,-0.004935498956380846,0.06142633176505413,0.16782112021530826,0.02797443866308638,0.15497897246295758,0.16853130118230647,0.05138189713673477,0.04625569378035094,-0.2062402720787924,0.1997330756897454,-0.2150105364948728
pivot_trough_sin,-0.0007605251464334193,-0.02212878534677893,0.15316541020505003,-0.12007998101712865,0.028869270883059905,0.008784866303196193,-0.14751466888782702,0.19294660449027545,-0.15728593390025325,-0.006768358995594442,-0.1234595402990064,0.018827519632257733,0.0267812965785576,0.1263477440858856,0.01829200050936214,-0.03286060739395872,0.08693922674882783
pivot_trough_cos,0.10842734118860689,0.06426636081761215,0.1204798259381809,0.04133193869729539,0.016121748611118064,0.06284279307191448,-0.02827684631705986,-0.09059839282440729,-0.08407373316805566,-0.11517636957392641,0.015452902395663121,0.07544838015577054,-0.00392641172608503,-0.11271106191403893,-0.028799599923638633,0.11493743174210033,-0.059499485220220714
