,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14
price_mean_lag1,-0.032857381484794765,0.20920091332204493,0.04634968896857626,0.04715793965196044,0.0020953082800521947,0.03675450225236243,-0.03609197657538483,0.005335692084212093,-0.0011566749592230355,-0.004259229733228145,-0.014434568684716131,-0.010243111434003416,-0.014882334580036504,-0.005672435700812628
price_std_lag1,-0.009066367425405897,-0.05702590440539357,0.038861605633763424,-0.12006643752329667,-0.04269787398265236,0.2537529559154519,0.012161872043148857,0.29326064975383775,0.28191610870414824,-0.02744861691721444,0.12465439372169206,-0.03948709025655959,-0.04381217003618097,-0.11207113562174377
price_min_lag1,-0.029694937386879006,0.1806730091181854,0.00563485643119771,0.061323177231568216,0.0403890794548145,-0.07557992587154219,-0.054365079325881416,-0.13771501633397368,-0.14692386892393716,-0.03810245950355265,-0.0833428444490503,0.043236343449197454,-0.0185955400062994,0.09285668667238495
price_range_lag1,-0.01317172374061526,-0.035480591563359476,0.07036416101369064,-0.07600404640152209,-0.05517409599067793,0.250191908473181,-0.03276485922792738,0.2972239078517988,0.33025127009815924,0.03832610841687166,0.13228417798990727,-0.08796558730431056,-0.054857755302925595,-0.09535484674841437
pivot_hour_peak_lag1,-0.06445113098795772,-0.045552092896429267,-0.0898495129328018,-0.09882683151498078,0.0861044736831223,0.25671207224238,0.015658276632034673,0.028199232121728576,-0.26852994959661036,0.16143504609152362,-0.058574320359684795,-0.0574630865593084,0.048775613350984556,-0.007057107583118824
pivot_hour_trough_lag1,0.011945655984515375,-0.0050909818238615585,0.17592134382857694,0.13513791180629933,-0.0743264908843908,-0.1867152583302228,0.07184917581371056,0.047274121001666156,0.06745511514253821,0.2789433702359689,0.10726880158464458,-0.018213018869163017,0.0704752836968151,-0.017829456034218955
pivot_peak_sin,0.06088894051298036,0.04301037049488791,0.10146001371916213,0.10128139671089809,-0.09296797556816455,-0.25121899502153033,-0.0031776690195946533,-0.031143325686779237,0.2518664422945028,-0.16000632063618717,0.077182565680052,0.059727568030849415,-0.07069059432766879,-0.013394845695846178
pivot_peak_cos,-0.08069248797048481,-0.062306158591313665,0.14643137193811218,-0.034882448640554176,-0.055072333844116445,-0.004042149080084323,0.044952157197405085,-0.07488661700298734,0.11132886658592692,-0.10792507807064589,0.09890618776898141,0.23598187674511492,0.013847917170848656,0.13698997134127328
pivot_trough_sin,-0.0023309728582653743,0.009318988868251906,-0.16874580162893618,-0.12081022968665704,0.11561397074992313,0.17791257710142494,-0.024867729481494183,-0.08022081966125616,-0.04792108434567353,-0.10112135999519117,-0.06503419504682743,-0.1317223062276182,0.00019669356739576704,0.13635338331154842
pivot_trough_cos,0.12345581172782062,0.055402260670549756,-0.07276498200567275,0.012672485972820963,0.030809125948647043,-0.04827598341209529,-0.14651422037819103,0.06466416808184894,0.0036981238944583175,-0.039141870288479846,-0.016665134924883696,-0.06980139024945692,-0.025313174621707138,-0.08613341165904921
price_roll3_mean,-0.019928412030512342,0.1657823233777202,0.03885849054961844,0.11690261390893136,-0.024904155584925092,0.019327069798404706,0.06978871843389922,0.07561575488724126,-0.02665739172611793,0.05547534788095479,0.1334340276857035,-4.549385173736875e-05,0.1325048981109293,0.04097306082848935
price_roll7_mean,0.017990271549086875,0.13699022315336715,0.04898298124964891,0.05990985661620723,-0.03915604734901443,0.06935927236078836,0.16285444509448624,0.06747582608908172,-0.07380671993367455,0.13808329670659938,0.20628322912962122,-0.02399560850893559,0.06306371488706586,0.1343648483018694
ttf_lag1,0.11482354644454511,0.07352040506234747,-0.04739528814204481,0.06712833504821944,0.04870258304117619,0.11801856101874313,0.12809844076214516,0.1541955406851001,0.10256856127519637,-0.004984231358902254,-0.0323848785948435,0.10326829027794857,0.2017371440696705,0.01685229070666141
ttf_return_1d,-0.00012010370156367941,-0.014632142651117066,0.08318531057148262,0.03538237054563185,0.3726574303342086,-0.0795503356453971,0.053522139697960214,0.054316315556188766,0.08543304098288568,0.10368186447091318,-0.08019389919890973,0.03464635774559152,-0.15859170798914712,-0.1629112096367069
ttf_return_3d,-0.022874702016274312,-0.014467719360559697,0.0853868507837429,0.02363201235064908,0.32229421215518994,-0.030114214263188204,-0.004434498878665025,0.07121988726876512,-0.012581454517673174,0.03457921706512303,-0.21601646177966366,0.24750060769789034,0.23001411419747364,-0.04407374700788483
ttf_roll7_std,0.010385359002336555,0.03017439839347128,0.039970631670616846,0.002279374919694651,0.015952604527189437,0.1241154171885813,0.08855756270377037,0.05956979793313244,0.007164903127792499,0.29024961781311437,-0.020037437985475443,0.08801328800711405,0.4284536164651968,0.20101141705339676
co2_lag1,-0.060718908330554676,0.020021129890039072,0.17721793589270812,0.057260072253393655,0.00046598212499584526,0.0863191730647288,0.1989673440369049,0.018782228936508518,-0.04902487473377726,-0.14543609861603876,0.15740572605014888,0.3165518356817725,0.008623295180365448,0.015609462312812301
co2_return_1d,0.0031659168561826104,0.006878369882390805,0.03448417193932633,0.012637722531516883,0.3140042671609941,-0.049673699929985035,0.10591291323141791,-0.01636348807694623,0.019134011531780057,-0.179442323561436,0.2397639924637805,-0.3082102647186539,-0.03917531966744797,0.2578437147384821
brent_return_3d,-0.015580396112687859,-0.012336100675839906,0.04088637942742786,-0.029759261702294353,0.047705160742532456,-0.04110871103995645,-0.024319647697124618,-0.006302170267420944,-0.017613975204817403,-0.210167099995212,0.15846778689436608,-0.04429967030383247,0.257980510079748,0.2856765435559503
spark_spread_proxy,-0.09898679762449444,0.14760659148004368,0.05789879915184634,-0.003907343233413844,-0.029295015613323972,-0.048934168533582276,-0.13402709163339924,-0.09553518596943654,-0.06240489118826779,0.012349744368935767,-0.007039787731331459,-0.1044605123434395,-0.14408868762718358,-0.017544805519245893
co2_gas_ratio,-0.12341625053919697,-0.07643647961573134,0.11306878308482816,-0.06085941919719868,-0.045663506223083884,-0.05796537821697191,-0.07225714538167574,-0.12763572214797678,-0.11450881400758019,-0.06531833717123026,0.07672199733375532,-0.024860934490640696,-0.1303395524497653,-0.0275206999061533
wind_mean_t,0.1505256188819139,-0.03727673183885435,0.11265191896535676,0.030858932863458748,0.0015542342501024071,0.0471676628538698,-0.02293996994523486,0.007113706949465775,-0.11081055156827889,-0.01297865840631833,0.06732151291652506,-0.05127802384420638,-0.016171137689433512,-0.09525735287211887
temp_mean_t,-0.12212469983799172,-0.07444406412114317,0.11981536507527622,-0.0004896891048391785,0.02754646785887731,0.08241484911166677,-0.22374740715946279,0.039431388218807054,0.006578993389636421,0.08357948947483282,0.025667645033280964,-0.0011170322152121992,0.0799090100117982,0.09688710154915414
solar_mean_t,-0.1417215544260074,-0.054539199725900704,0.16025472354096149,-0.04016973160615678,-0.025749720846250726,0.022631994003048536,0.04702517962573331,-0.054832278288289384,-0.005707537496324441,-0.0555844434728512,-0.09594202438533592,-0.10172121773867901,0.07291810603565493,-0.07601273186190993
precip_sum_t,0.056958766038529576,-0.0026581263431583713,0.000606159904085349,-0.008415217961012056,0.10590813452880747,-0.03230459313317943,-0.20731801360547597,0.03828382326441289,-0.15365414883423673,0.019436349590991605,0.3490098012337749,0.4009228128930814,-0.10593662336434898,0.015204622499547793
temp_sq,-0.12649865941072294,-0.05863337988299035,0.10491945909314344,0.0021094334703363328,0.03638109356239483,0.09775267259587585,-0.20584335551238464,0.03727941459139103,-0.013379272071190305,0.12227777417475875,0.009648695902096396,-0.049613115217913256,0.10027507251998352,0.14089237948808347
wind_power_proxy,0.13766417928281954,-0.027376885248539092,0.11400868947276858,0.04445076386887494,0.028274970580876885,0.05867811231035406,-0.04156529993726678,0.03339893275647965,-0.1637907838463941,0.002749657668798979,0.11736307326317867,-0.08069334264989486,0.08140218182115445,-0.09051481839383607
wind_chill,-0.1296256297906113,-0.06921628124951985,0.10740214313388033,-0.0028176794839938567,0.026541614082661466,0.07617923890264391,-0.21480195905772653,0.03762167553212075,0.01478332451137289,0.08187453606996867,0.019728211074857043,0.0028135262389506555,0.0785646918321744,0.10100285136271449
supply_margin,0.14977485767371873,-0.034806346984374584,0.10208039349221497,0.09732017490526623,-0.0206432423188832,0.07527383205795864,0.014478097577591062,-0.005100540622173198,-0.019810411373779965,-0.03334779182523147,-0.033864602218274226,-0.053202998724995475,-0.028544089705718933,0.039304613636618566
conventional_gen,0.04008997946530255,0.1408168576498262,-0.09995993934990244,-0.18897659112181583,0.006639763213254967,-0.0889307102773425,0.11878838102072417,0.063344433404141,0.015707239199699838,0.028975876733309855,-0.006706849710618427,0.00473619379613905,0.003452179288917917,0.04567217032970987
load_overnight,0.1002325899333554,0.09207841923678609,0.10443536473551937,-0.18647444359977378,-0.01844552344266443,-0.06139439266768654,0.08534227797590611,0.03775622110502602,0.027694926831933288,-0.08330551419503113,-0.04752560948174563,-0.02438782763164471,0.07116653914243917,-0.09123370078476163
