,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16
price_mean_lag1,-0.03864787964770712,0.21280150506036302,-0.0612914725946857,-0.019753339659412363,0.0055579036132265645,0.013365626383147422,-0.014840559742214994,-0.03739508603606087,-0.018423104720136474,-0.010624751565369668,-0.008258691669364684,0.00505650669426713,0.012082586227777775,0.015585600206608657,-0.008188303119313118,0.0008042685739666028
price_std_lag1,-0.03302262946587359,-0.0390773508309602,-0.002802071300749942,-0.16622962408753483,-0.08177443015824627,0.009499184354236823,-0.19825551055258359,-0.2410687730629635,0.31784386863234315,-0.13196034432527318,-0.12744596514386222,-0.1315254860690662,-0.009776123512160173,0.015122739264996962,0.12010647186671017,0.174701242218034
price_min_lag1,-0.027143356363326432,0.1885708809742988,-0.03564700155673328,0.028852137131145303,0.03052372684881302,0.017405981765012096,0.06919096276708539,0.06967550662621688,-0.20958772016391297,0.015452356266196031,0.042652532019820985,0.09529921865999527,-0.03558838512043588,-0.013342117662116203,-0.04948720520312002,-0.062262308680384355
price_range_lag1,-0.03593941048741045,-0.025055741468270776,-0.02165769372483828,-0.16162662047921042,-0.07894050377592889,0.004501310955969867,-0.1425132755568746,-0.28618933407446623,0.32331018836612835,-0.1133470349716871,-0.16249652441203677,-0.10129402769289403,0.007087083874369564,0.04039084107924917,0.17229824611932543,0.20325545264560432
pivot_hour_peak_lag1,-0.09127166541321122,-0.05419311475995531,0.08259478918791419,-0.10099024880530857,0.055813738387884435,-0.035823160586182484,-0.17473757475755447,-0.029877975255240163,-0.13025777532537947,0.23909530286822295,0.08806546379587066,-0.023713201882700274,-0.1705543999158905,0.00869573144186539,-0.017734587997142753,-0.06229523686233625
pivot_hour_trough_lag1,0.014523270852442205,0.011336839873030984,-0.13268871818863875,0.11417290505210798,0.009076337829607886,0.0131766860792919,0.27297221527341176,-0.09868553241787703,0.19255818745559472,0.13426895266416367,-0.0033823500621602137,0.020877034716721324,-0.04019256684981076,-0.06884692485651356,0.034961078247662286,0.010883079122047414
pivot_peak_sin,0.09592737731006248,0.04157767201135106,-0.08668141591888798,0.10551875488209883,-0.060748243317262765,0.03757605773883654,0.1546388250412787,0.03955968173489016,0.12032221455380501,-0.2481032045892483,-0.06299106093060772,0.07203140060387112,0.21606855532314756,-0.006062975724493894,0.00411932786495129,0.0871404780164219
pivot_peak_cos,-0.02826203199286368,-0.06021502788228567,-0.13741824094567842,-0.019387636301578498,-0.0024673719457542764,-0.004154035732319761,-0.016964954117029585,0.07693997951621631,0.14436637578863665,0.027520337762409808,0.21458914314230865,0.14054501165909078,-0.009340142932748513,0.06147274837157082,-0.15848657644356917,0.2678601253769235
pivot_trough_sin,-0.003049707559973841,-0.01955105942342458,0.1563788920560714,-0.12998832066799176,0.022965447885615387,0.009497959223548569,-0.19943676766889393,0.1303657628138577,-0.150831505856797,-0.017042066925861216,-0.01925612193113796,-0.10061201652383756,0.026831399599761302,0.13865418014012626,0.07058037460189759,0.006076150032032726
pivot_trough_cos,0.10709460838499063,0.06467986460372153,0.119151520998275,0.04680207967039153,0.03130313159569714,0.05510856431248007,-0.006181336902556539,-0.09607166896985952,-0.07544038494671396,-0.12290249733567603,0.0690006087089289,-0.022897326834159046,0.009563852729482361,-0.10647665162898007,-0.0660287079631943,0.11706835469135482
price_roll3_mean,-0.008072665473849152,0.1699297756617909,-0.07562154661442383,0.07282814524512675,0.03805685001980064,-0.04535691555547211,0.003979957792721978,-0.0402692428195944,0.0947892985302905,0.04821014361895637,0.07818643710268516,-0.16840935442983562,-0.21090511894718394,-0.09259541119211134,0.09952885226461358,-0.007437553243662579
