,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12
price_mean_lag1,0.18916503163852647,-0.05391062286310087,-0.008168539223972248,-0.0013155780469465584,-0.010935564306981586,0.005736635539440566,-0.003269475050060904,-0.010098121998034525,-0.02167478287948042,0.004436775279910724,0.032436371034456596,0.015144461379819311
price_std_lag1,0.0680945150885327,0.10055623568251215,-0.05426533667679496,0.1057737564339306,0.36799740944059633,0.07346613527259623,-0.17715956178706038,0.04525537937926816,-0.10205375801821985,0.15751485746544425,0.0888460302535214,0.058663095671636495
price_min_lag1,0.15409460787513982,-0.09420114864314089,0.024295724475388122,-0.10335848459267913,-0.1657670120187616,-0.05381627507596117,0.0915444785922599,-0.02411708958940481,0.00709149542599645,-0.07135884689830117,-0.04015265893835966,-0.013690314547661363
price_range_lag1,0.07551067080965132,0.07207967455345074,-0.04410107348804404,0.07931073776097095,0.3644974482443803,0.1176002248206702,-0.162439572901863,0.05155810544193945,-0.2030450947577076,0.07611517074511852,0.07592820086445479,0.03546005277219633
pivot_hour_peak_lag1,-0.002369494265259729,0.06153341092062768,-0.01244433875249673,-0.16518340892971228,0.0750330868366419,-0.4657349072459688,0.039093920270426095,-0.10630019432785631,-0.22178868904681812,-0.2080342907451202,0.06826403150509952,-0.05281439574560069
pivot_hour_trough_lag1,0.03463810544625681,0.0360096007595288,0.02167693286183675,0.21156604805968357,-0.028869647008362476,0.2797655732755684,0.07494476967104997,-0.23551923688506737,-0.037024761262753086,-0.36085528493953406,0.06850724403805616,0.00092493237055008
pivot_peak_sin,-0.00017401082595186836,-0.028335313754343974,0.03575897881011866,0.14185893245233472,-0.10677879876832974,0.48558762272188716,-0.05230773119015965,0.1341498146732972,0.207478793383288,0.21167270219397044,-0.04594542375843369,0.0943949836184743
pivot_peak_cos,-0.03441052111624803,0.13865404867608253,0.026458827435519906,0.06690273810636405,-0.006971510240318862,-0.14178239637300127,-0.04407365540802144,-0.14782791690517652,0.01618877535809507,-0.12225678080964698,0.22013022773173566,-0.04886389707105257
pivot_trough_sin,-0.038166797871942916,-0.050351914850074016,-0.017949230426966417,-0.1382658900606255,0.08349075155228008,-0.24858620549201588,-0.10932015795278863,0.2775767123992907,0.07660720209145083,0.4199892982900171,-0.1256449615426813,0.054061733017439384
pivot_trough_cos,-0.006341649539056335,-0.15425708305142402,0.03751325782408309,-0.06153309787205252,-0.04887830321083281,-0.04817594901624944,-0.023671105855746583,0.2535378725073917,0.16442748672140414,0.21489505946679618,-0.05938721416557996,0.10559660355562744
price_roll3_mean,0.17209934365444923,-0.06390267706412993,-0.0376543743473779,0.06680828214700293,0.017819382809221337,-0.028237319459851584,-0.01584823419049225,-0.04190486365728818,0.06280696438841271,0.0353741440017301,0.017287863641192336,-0.021354736332180685
price_roll7_mean,0.1497294758842054,-0.0694657701426438,-0.0194946155255299,0.11885459542441605,0.07934771979285632,-0.11053529292973555,-0.05053830432075307,-0.03776135059524843,0.18654588301533398,0.02301950434767644,-0.04746889140380972,-0.0434063083937115
ttf_lag1,0.11513929493077185,-0.009007578885197168,-0.11257540880307754,0.22318362541108588,0.13770678222119426,-0.0918910810399389,0.06435557580722795,0.19866592785048254,0.17465700022126374,-0.15722382305699234,-0.09769629737586182,-0.10379259058507675
ttf_return_1d,0.0051232344507286184,0.02374885425826872,-0.02809992940878258,0.07181253729725806,0.1138602030717801,0.007703242491723161,0.5507888296452307,-0.05374772096629277,-0.0029139073963793706,0.22772842909753088,0.0713769602020719,-0.10359982875313872
ttf_return_3d,0.009850497939649802,0.0341206241642541,0.006575866994995855,0.11264621520059209,0.15446819400970976,-0.03130720505421082,0.4648626697729608,-0.03002658966789795,-0.045211747036707606,0.07050821939920984,0.024726323660520022,0.06485701631722207
ttf_roll7_std,0.02437003854695752,-0.05623733010959362,-0.015019704178766104,-0.03741832094186512,0.10407480603921067,-0.0357968174708607,0.04372809657548912,-0.04789394574642869,0.49240855559125246,-0.04522278158675218,0.140132716935032,-0.04872081046507859
co2_lag1,0.08239888412428183,0.08996102837454713,-0.043680733042510175,0.048759458329892064,0.0215403531127687,-0.058330140188922984,0.027952163933215476,0.2227253593953286,0.3432849808851612,-0.09338908382585732,0.3754385828958723,-0.03975186177514545
co2_return_1d,-0.0007257752180282062,0.026345930078994204,-0.038421979462883706,0.05847256306541246,0.06169797163000891,0.02727597575816301,0.48888953522620254,0.06302853690162477,-0.0843225058542868,0.18914397226989876,0.14674935390712995,-0.23371207120183335
brent_return_3d,-0.024855665723558382,-0.024880803913160866,-0.007748224879332427,0.014794885052784207,0.03474482889191095,0.010712269888646646,0.23527532033867252,-0.08088761735799917,-0.13221605010381704,0.031840110231693974,-0.24198871523398335,0.6748089319833398
spark_spread_proxy,0.17145403633293943,-0.06740420887037811,0.03887941273744123,-0.09482022585946655,-0.06982091780900575,0.048231840131539784,-0.031868583735718756,-0.10921608182216083,-0.12288621330657183,0.07564251300689995,0.04775332576493563,0.06266965182897055
co2_gas_ratio,-0.09648168746878003,0.051444750324585654,0.09871424817485956,-0.23702087730851062,-0.14647967818145696,0.07443067486738639,-0.06067779851627339,-0.10532143891968059,-0.0011919715367651254,0.12863266390076894,0.3509739174917367,0.08775933151558074
wind_mean_t,-0.09389249118977461,-0.14433062401247734,0.04701827798341139,0.24612849313736387,-0.08593463416559839,-0.07799536324019564,-0.010538855156812982,0.028122008450216923,-0.06853936238213379,0.03257915538874487,0.09003203086356197,0.014646614426245735
temp_mean_t,0.10605872652095337,0.1800086854308312,0.04183589634789633,0.12098555362185318,-0.05711947102609243,-0.11725606037194104,0.009132463231655423,0.06265677566921625,-0.03238215931711449,-0.0008723131584196173,-0.16557360564576853,0.06637565368242647
solar_mean_t,0.023239833380959116,0.2515710870839167,0.05368449969103056,0.01499170784185221,-0.11488343882154287,-0.012449828529419145,0.01879616696537856,0.0006576199379389018,0.0010717175312909804,0.029713779185178726,0.00804110720185015,-0.0060708541321547755
precip_sum_t,-0.04920096215459652,-0.11642817503176262,-0.00043663232998028106,0.16031813149843466,-0.06333244366374728,-0.04616533164355622,0.015394679401293208,0.2387976914565768,-0.16676017961403347,-0.17341868739118754,0.19737466466612977,0.22532699932248668
temp_sq,0.1088775340838959,0.1746596965227874,0.05892234928287005,0.11506901270283944,-0.06681085504100014,-0.14318970046013316,0.003413444355405987,0.02104373861979903,-0.016482498429636276,0.04863840890862745,-0.14326207862190804,0.05657213265026959
wind_power_proxy,-0.08717265356456008,-0.12213303624676017,0.06360329142652604,0.22414045669425825,-0.10702813701950889,-0.10597691567589242,-0.0004278810435567255,0.015972387142205228,-0.10993606010806756,0.08579754438722345,0.10229077791746995,0.038202160054323926
wind_chill,0.10972698396553258,0.18490255593588267,0.035832574580480094,0.09386072260872651,-0.04699609864765277,-0.10519752263722758,0.009665840471821376,0.057414695857451375,-0.02488613797777177,-0.0037217190768079004,-0.16628809887426738,0.062164789012487356
load_overnight,0.06888562626781503,0.05975595883499116,0.31498002676348713,-0.02029650415177709,-0.05350416691562232,0.014978469589965588,0.00543429090380418,0.0319163023352096,-0.11134652482708692,0.13360771978617542,-0.0359585562198887,-0.10101187118741754
load_morning,0.01953394361902182,-0.016578158008607118,0.364175022150825,-0.06103544714282001,0.1198021908052189,0.07938406002233318,0.027937422582036093,0.039548923827466415,-0.015434166035750116,-0.05527587010725165,-0.04517607370943815,-0.03128054228109293
load_midday,0.055522049307767135,-0.01896794875396796,0.36089350332896364,-0.032177098518204585,0.06623412591842709,-0.051901064049256006,-0.004935426981966851,-0.04039075662419157,0.051427845879784044,0.05748775579911645,-0.004740369225184855,0.016560584724890515
load_evening,0.04069021730927627,-0.04366317290972493,0.3493396111439113,-0.047622843834030766,0.11693387415838548,-0.055676626306411306,0.0015541325373770929,-0.11634822750656239,0.08627369615337828,0.06694580019370579,-0.009325597112957286,0.008924663638386735
load_night,0.023446930285244996,-0.0536391021683465,0.30139542849953604,-0.09329938431821318,0.04320184970472882,-0.09619460973391906,-0.010108245619194087,-0.2639771243056873,0.06456843514714981,0.2194330403053801,0.08688980352949364,0.016370189208108735
solar_overnight,0.06828494556257864,0.213684860499671,0.0819654946747462,0.05780381488955474,-0.09234865210360271,-0.10418360702251493,-0.0164792404519065,-0.007418983602300094,0.07472282763670239,0.054156561329655566,0.014294742670391668,0.031328347088082534
solar_morning,0.044144324046664477,0.24642112385983952,0.03916410219840493,0.052919114201217275,-0.0871320488872212,-0.016229804172871738,0.011957858059953185,0.0280436569547365,0.039373795773219096,-0.01563535369731196,-0.012617651876138619,-0.03845553492572821
solar_midday,0.05615045168042083,0.22117685695670067,0.02509657831445897,0.016348368297767816,-0.0477142007482053,0.008941619732562894,0.014232844099489073,-0.06997981438325031,0.03516571918331038,0.07927870878419833,-0.15937989736379218,-0.16246282401926612
solar_evening,0.046099585724136916,0.24271971400684156,0.07123916904250398,0.024328887003629958,-0.11842478581188702,-0.03525058828860315,-0.010732891344794958,-0.020220224783157093,0.032083454781859276,0.04611277870627847,0.010663251612264127,0.00624606210525365
solar_night,0.06591116397105053,0.22586391223305327,0.059376397752731326,0.02966306332226939,-0.07195511144008018,-0.044833880460536615,-0.00881389099703616,0.009134906004607738,0.09409983445165099,0.03366090422632649,-0.029999131696881794,-0.05947602605529136
wind_on_overnight,-0.08742954897287107,-0.13272065967067764,0.09884614438113126,0.24749349267014523,-0.07598255897339495,-0.045350809627449286,-0.03113047937486194,-0.02409198952005047,0.08919864002599964,0.07138999712223079,-0.10532218439896841,-0.0669703434416407
wind_on_morning,-0.0847378781168598,-0.16645819909286638,0.08898581609088063,0.23878281448630848,-0.03774297340493152,-0.056096335965192305,-0.04337247968565117,-0.04265060024945933,0.023082523375915598,0.04529083539474615,-0.04442498117253196,-0.06064110577754631
wind_on_midday,-0.08117692877019773,-0.15724970179905942,0.09210799886228148,0.25792771275361653,-0.0347194435223097,-0.08680015004160774,-0.06265886477719154,-0.05336663722904605,-0.0459335625426484,0.02647666064789135,0.05997924900568389,-0.008414127785050162
wind_on_evening,-0.05970942054465439,-0.12428238862675166,0.11081723266282652,0.29098995511217896,-0.04587789064375231,-0.1523027712378708,-0.07893359470283792,-0.07230854526698263,-0.04735858976041375,0.03920689946233183,0.1101008827672252,-0.005113915749349994
