,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14
price_mean_lag1,0.10496584445349046,0.18954252839171346,-0.018269272096900338,0.023660087574312472,-0.03627816496844787,0.008837425532577886,0.0078029262060526,-0.002823440730324922,-0.014083557198685974,0.011738722399827076,0.015510764702482562,0.013107903363812052,-0.024403262620955508,0.01665255774509814
price_std_lag1,-0.04210021827228039,-0.062367993619880435,0.11342737420333517,0.21588021370212115,-0.00025164305836656436,0.33441108100461503,-0.13178209055728704,-0.17078617802512394,0.05721133544759813,0.17523705566216777,-0.04334852195876988,0.13705028984070103,-0.0719873710884432,0.0011660075902139937
price_min_lag1,0.09011730833330145,0.16722570800823172,-0.03158699757127953,-0.0794679595985126,-0.02031731146821386,-0.13930236728419376,0.07436562478189067,0.10025672401753959,-0.029543965604433592,-0.10766097290918558,0.03055680219848353,-0.0782621171899768,0.04591458096134651,0.0003370828760749442
price_range_lag1,-0.033150857065874506,-0.04661729969092815,0.08551183514611813,0.23324131572774365,-0.03309141455610426,0.33503358403013,-0.17402222843428372,-0.15654315773542632,0.006999724958611453,0.20804661621334364,-0.0002515217745533843,0.14744611842903055,-0.10234440738118111,0.05329898078291728
pivot_hour_peak_lag1,-0.06559492275460937,0.0013232499196791023,0.18133552270212272,0.15285446027427685,0.06175758566891428,0.06636583451473119,0.2796044511796907,0.16220547961020096,-0.25979702763366497,-0.22560678875152068,0.09490254892565861,-0.07917759330640682,-0.24596427975373764,-0.16294371092913745
pivot_hour_trough_lag1,-0.008934592742385675,0.0028685705841598307,-0.21215099859444964,-0.18826577478024342,0.07727932766733592,0.12384606828446106,-0.26814739764519724,0.06578031960529977,-0.23822619063815204,0.03942544619490762,-0.02161198677696595,0.06355521274214417,-0.2736047824647947,-0.1616610014779299
pivot_peak_sin,0.05172848383992143,0.0036322842265438886,-0.16898484172847336,-0.175350744054511,-0.053898904814740536,-0.048073493645075766,-0.27404619287418647,-0.18008448215310596,0.25490387295980965,0.26321958075318996,-0.12310157900939495,0.08502539110933949,0.2745844703405871,0.15852637906878056
pivot_peak_cos,-0.1379101051579261,0.03763876729012707,-0.03706779610255584,-0.10202057449158741,0.055414892569058904,0.11937584976889326,0.06717443994855739,-0.018566587153346928,0.0277466174724742,-0.09899659525304091,-0.04211781906706277,0.14608053857133424,0.14215798369370736,-0.015603696737653924
pivot_trough_sin,0.04183885278352888,-0.02918176117704024,0.1882728545385781,0.19965375105321914,-0.061700688023304306,-0.1491730974342262,0.2027567021247596,0.03318849881386185,0.16905649948018647,-0.05374168372073959,-0.03071954861511833,0.07946016357087668,0.2982434861004607,0.27704735673702735
pivot_trough_cos,0.09628400945246467,-0.049440639672475736,0.05985785115933063,0.12335607780297546,-0.21251431413303784,-0.1414562255638832,-0.013544813213256512,0.044929299790916866,0.0879603533066115,-0.06863726051068447,-0.18998252647070385,0.0119836948883447,0.07161482400227631,0.22283357457295705
