,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15
price_mean_lag1,0.1921426473017287,-0.05631796824736053,-0.01765907073316361,0.022439594992436158,0.025429270765546446,-0.03566896157703351,-0.02312046504996542,0.009637191394752078,0.0014612342051228784,-0.010588425741461516,-0.0008680533224199143,0.0020620147922453306,0.0023688954916433274,0.02844866113107385,-0.0024565607314221247
price_std_lag1,-0.026555754867585768,0.015741763493143907,-0.276240554521175,-0.14858248703592047,-0.21065963395864165,-0.1709756849727076,0.0066242629382016974,0.04529638706230403,0.3007003391950768,-0.1688899155439421,-0.19907390931286925,0.04429875922287614,0.018905859881684483,0.05340157973603802,0.08414333156691535
price_min_lag1,0.1676413054490062,-0.047485043514148506,0.12961064332237515,0.07143492172292404,0.09669061141284035,0.04023479954692949,-0.012322173411574808,-0.037075400364699425,-0.15646356074396975,0.07496758844159956,0.07990061130816065,-0.02588743915663745,-0.021807388802809802,0.016785940435338417,-0.02556433281524722
price_range_lag1,-0.00862406659611381,0.015520757986113909,-0.2774588233845747,-0.11822034040000029,-0.1987115472582987,-0.18909499176542166,-0.0008734939335737213,0.05347341097047774,0.31866020114526783,-0.18878083820200797,-0.23361535429344762,0.037639567687030084,0.01474876170460964,0.08337469383806381,0.05115374880066344
pivot_hour_peak_lag1,-0.0502757336203647,-0.005465920092859122,-0.12443278775312683,-0.28640750882260424,-0.012431930045107053,0.024080116257290257,-0.07833193669713961,0.17639093544426918,-0.25298874811242444,-0.12987317745770885,0.24907016249814204,-0.16643639035083088,-0.06371670881823896,0.2268213915474961,0.22418523241682484
pivot_hour_trough_lag1,0.022966964457041376,0.003355611043774677,-0.0028334643159445005,0.27708284995037796,-0.05644975246991468,0.14381151095835343,0.24589758927780728,0.08314033545870315,0.1729468405978621,-0.2053754435220248,0.3353541076219056,-0.02650630495226873,-0.01466750689385841,0.14007168944360288,0.18405063977151445
pivot_peak_sin,0.03945255520203227,-0.010065248572336637,0.12778285164262188,0.28667749116235275,-0.000911326372799226,-0.01349201772745083,0.07164046498122473,-0.16482248206666752,0.23953786210383493,0.19061102890085135,-0.31243214933763264,0.13616919187561133,0.007921338548492876,-0.17853481622561992,-0.18792170321977378
pivot_peak_cos,-0.04589045221242846,-0.08601611963974712,-0.12383275711683467,-0.04530492817958909,-0.18347491526176968,0.029586793046310567,0.1529161749719415,0.06351578178847571,-0.052358310561274504,0.1517648804686214,-0.11650300953787332,-0.2987464994963751,0.01754720140873102,0.06729183369699085,0.03892757669066466
pivot_trough_sin,-0.02303209169365545,0.013952817609799818,-0.048777639535439815,-0.2683012022764055,0.06144339670815241,-0.0986444644214988,-0.27654381857629123,-0.006414095463626757,-0.2022525895430638,0.15988108607048523,-0.16322801899633158,0.11990227303083001,0.18520989208361055,-0.17116156650396708,-0.22735965103404404
pivot_trough_cos,0.05435635489289207,0.1536804191889621,0.12251317523175169,-0.004918424540277744,0.11943178522078751,-0.09763079480632658,-0.052272379784563616,-0.0412625854688945,-0.019215958844974713,0.07983315849949318,-0.0591449132123692,-0.18261350984048264,-0.06024934492029988,0.04420484628594429,0.05814536053756869
price_roll3_mean,0.17801853754471073,-0.028527744092439116,-0.07928869833415228,0.016275046448108052,0.011904472853626558,0.03531812696464809,0.004007427817281084,0.03400503344966091,0.05173518499422132,0.023022048393537747,0.044039520329346354,-0.03750587502298041,0.09985689192900635,-0.06186917859239954,0.041267140807958125
price_roll7_mean,0.16414994051380616,-0.009085651893348565,-0.11133161053297827,-0.01647419415866525,-0.032186388178362974,0.03152205200746554,0.012175602770980204,0.04163207446552938,0.026624258811640752,0.0861855000231927,0.07034450549506661,-0.013230330287743536,0.0998755442335445,-0.13792409416399803,0.004655932933051499
ttf_lag1,0.1070099262945245,0.13770612517687175,-0.03434595293724373,-0.04191376651670077,0.07953711960766005,-0.03467493230229403,0.15960846198159417,0.2900878052010971,0.12356252996073776,0.22103196335450442,-0.08783518500759713,-0.06747699679642409,0.014600945266738226,0.1294676949195807,-0.006662005792128525
ttf_return_1d,-0.01264929462838022,-0.009291662922274695,0.03972602458944149,0.0318760825917801,0.14861636069920717,-0.18226024691174314,0.3458641563460039,0.16328898166341665,-0.18801297272996723,-0.306070127824677,-0.09267725889203136,0.09095735414895781,-0.13008559644672185,-0.24753373992024819,-0.15493908844562082
ttf_return_3d,-0.029869294625283028,-0.03499753467294543,0.044539995363708694,0.012380639776588284,0.1712535106920915,-0.22122757502795332,0.3109074791908205,0.17817050138282292,-0.1897483387804522,-0.21218113651554737,-0.10531970097688145,-0.04940263335569442,-0.02991374822900183,-0.055832448491298925,-0.15468367779326217
ttf_roll7_std,0.012556499513233961,0.0019102982577995397,-0.016941627693297497,0.017028697813187978,0.01636112875464049,-0.07106028430685109,0.10990153251532297,0.33045035366872955,0.08879922863192213,0.4208843269385456,0.11565548840223527,0.22012245360569704,-0.3395407702147422,-0.08150090897870887,0.12217151880385402
co2_lag1,0.04141905335592613,-0.12706081264704783,-0.07922050394773861,0.037946710642036634,-0.05904270960586916,0.03882116314795175,0.27505908765878617,0.11461739821814854,-0.15656351399642565,0.3256362795520226,-0.09911385807044101,-0.22749623662503657,0.028583675345453988,0.02041974102958259,-0.013894719622225736
